Sex,Length / mm,Gonad mass / g,Overall mass / g
Male,136,5.55,42.99
Male,125,2.54,52.37
Male,120,0.22,32.84
Female,125,0.93,29.45
Female,102,0.91,27
Female ,130,1.62,27.36
Male,125,1.11,35.07
Male,185,3.06,43.09
Male,125,0.29,43.3
Female,120,0.86,24.92
Female,118,1.9,28.46
Female,110,5.4,32.4
Male,150,1.11,75.5
Female,124,1.94,40.46
Female,132,2.96,39.93
Female,126,1.84,39.3
Female,105,2.3,33.02
Female,105,0.85,21.3
Female,107,1.4,30.52
Female,141,2.14,32.51
Female,115,7.27,45.03
Female,135,1.43,28.22
Female,115,0.85,21.92
Male,135,0.39,29.04
Male,118,1.38,5.13
Male,102,3.12,28.14
Male,119,1.14,34.52
Female,117,6.58,40.92
Male,110,3.16,33.36
Female,120,3,32
Female,130,4,46
Female,100,0.81,22.35
Male,100,0.37,33.78
Female,120,3.05,34.62
Female,120,1.53,30.75
Female,116,1.66,30.1
Female,80,1.19,29.4
Female,116,1.77,24.02
Female,102,2.46,24.62
Female ,116,0.76,24.75
Male,122,0.92,45.04
Female,118,6.8,39.45
Female,120,1.74,26.31
Female,124,1.63,31.57
Female,120,3.11,46.72
Female,100,0.66,27.51
Male,136,0.18,25.67
Female,108,30.2,2.97
Male,130,2.18,44.94
Male,140,2.92,47.82
Female,115,1.98,30.19
Female,128,1.34,35.47
Female,123,4.85,35.63
Male,112,1.43,30.69
Male,150,2.85,79.33
Male,110,2.61,45.86
Female,123,0.84,30.4
Male,120,0.43,43.54
Male,790,0.8,52.83
Male,119,0.6,43.74
Female,120,3.6,34.2
Male,109,2.11,36.59
Male,130,0.84,46.54
Female,125,1.75,26.02
Female,107,1.84,27.8
Female,114,5.02,41.8
Female,100,2.32,30.34
Female,105,5.91,38.71
Female,125,0.3,28.73
Female,110,0.74,27.07
Female,112,7.51,45.02
Female,102,5.57,29.82
Male,114,1.13,18
Male,122,0.41,43.65
Female,110,4.6,35
Male,121,0.31,53.58
Female,125,3.08,32.44
Female,125,23.6,42.19
Female,120,7.33,35.24
Female,112,0.45,38.9
Female,213,2.88,32.24
Male,110,2.11,36.53
Female,105,2.23,22.81
Male,120,0.27,45.23
Male,99,0.42,32.13
Female,125,0.75,22.55
Female,108,3.55,32.04
Female,111,2.62,25.93
Male,105,1.45,30.41
Male,140,0.33,44.87
Male,110,0.95,120
Female,110,3.23,22.51
Female,108,0.9,23.87
Female,120,13.31,46.52
Male,120,2.83,38.93
Female,130,3.15,39.47
