"age","wt","wing","inc","notes","date","ID"
NA,NA,NA,"","",1976-12-23,"581"
NA,NA,NA,"","",1976-12-24,"581"
1,200,35,"","damp",1976-12-25,"581"
2,234,NA,"34","",1976-12-26,"581"
3,290,NA,"56","",1976-12-27,"581"
4,221,36,"-69","",1976-12-28,"581"
5,202,NA,"-19","",1976-12-29,"581"
6,229,NA,"27","",1976-12-30,"581"
7,254,36,"positive","",1976-12-31,"581"
8,230,NA,"negative","",1977-01-01,"581"
9,189,NA,"negative","",1977-01-02,"581"
10,208,36,"positive","",1977-01-03,"581"
11,310,NA,"positive","",1977-01-04,"581"
12,370,NA,"positive","",1977-01-05,"581"
13,490,38,"positive","",1977-01-06,"581"
14,365,NA,"negative","",1977-01-07,"581"
15,325,NA,"negative","",1977-01-08,"581"
16,545,40,"positive","",1977-01-09,"581"
17,625,NA,"positive","",1977-01-10,"581"
18,545,NA,"negative","",1977-01-11,"581"
19,445,45,"negative","",1977-01-12,"581"
20,555,NA,"positive","",1977-01-13,"581"
21,825,NA,"positive","",1977-01-14,"581"
22,750,48,"negative","",1977-01-15,"581"
23,565,NA,"negative","",1977-01-16,"581"
24,885,NA,"positive","",1977-01-17,"581"
25,850,51,"negative","",1977-01-18,"581"
26,1025,NA,"positive","",1977-01-19,"581"
27,1150,NA,"positive","",1977-01-20,"581"
28,950,58,"negative","",1977-01-21,"581"
29,850,NA,"negative","",1977-01-22,"581"
30,775,NA,"negative","",1977-01-23,"581"
31,1300,59,"positive","",1977-01-24,"581"
32,1625,NA,"positive","",1977-01-25,"581"
33,1675,NA,"positive","",1977-01-26,"581"
34,1250,65,"negative","",1977-01-27,"581"
35,1425,NA,"positive","",1977-01-28,"581"
36,1625,NA,"positive","",1977-01-29,"581"
37,1650,73,"positive","",1977-01-30,"581"
38,1375,NA,"negative","",1977-01-31,"581"
39,1750,NA,"positive","",1977-02-01,"581"
40,1550,81,"negative","",1977-02-02,"581"
41,1700,NA,"positive","",1977-02-03,"581"
42,2525,NA,"positive","",1977-02-04,"581"
43,2075,92,"negative","",1977-02-05,"581"
44,2075,NA,"positive","",1977-02-06,"581"
45,2250,NA,"positive","",1977-02-07,"581"
46,2725,102,"positive","",1977-02-08,"581"
47,2150,NA,"negative","",1977-02-09,"581"
48,2100,NA,"negative","",1977-02-10,"581"
49,3025,109,"positive","",1977-02-11,"581"
50,2425,NA,"negative","",1977-02-12,"581"
51,2300,NA,"negative","",1977-02-13,"581"
52,2125,128,"negative","",1977-02-14,"581"
53,2675,NA,"positive","",1977-02-15,"581"
54,2250,NA,"negative","",1977-02-16,"581"
55,2375,143,"positive","",1977-02-17,"581"
56,2325,NA,"negative","",1977-02-18,"581"
57,2800,NA,"positive","",1977-02-19,"581"
58,2750,162,"negative","",1977-02-20,"581"
59,2825,NA,"positive","",1977-02-21,"581"
60,3375,NA,"positive","",1977-02-22,"581"
61,3150,181,"negative","",1977-02-23,"581"
62,2850,NA,"negative","",1977-02-24,"581"
63,2675,NA,"negative","",1977-02-25,"581"
64,3000,199,"positive","",1977-02-26,"581"
65,3325,NA,"positive","",1977-02-27,"581"
66,2925,NA,"negative","",1977-02-28,"581"
67,2650,217,"negative","",1977-03-01,"581"
68,2875,NA,"positive","",1977-03-02,"581"
69,2675,NA,"negative","",1977-03-03,"581"
70,3100,236,"positive","",1977-03-04,"581"
71,3950,NA,"positive","",1977-03-05,"581"
72,4125,NA,"positive","",1977-03-06,"581"
73,3900,256,"negative","",1977-03-07,"581"
74,3375,NA,"negative","",1977-03-08,"581"
75,3550,NA,"positive","",1977-03-09,"581"
76,3750,273,"positive","",1977-03-10,"581"
77,3400,NA,"negative","",1977-03-11,"581"
78,3750,NA,"positive","",1977-03-12,"581"
79,3425,292,"negative","",1977-03-13,"581"
80,3500,NA,"positive","",1977-03-14,"581"
81,3650,NA,"positive","",1977-03-15,"581"
82,3650,309,"positive","",1977-03-16,"581"
83,3375,NA,"negative","",1977-03-17,"581"
84,3625,NA,"positive","",1977-03-18,"581"
85,3525,323,"negative","",1977-03-19,"581"
86,4075,NA,"positive","",1977-03-20,"581"
87,3700,NA,"negative","",1977-03-21,"581"
88,3450,337,"negative","",1977-03-22,"581"
89,3300,NA,"negative","",1977-03-23,"581"
90,2900,NA,"negative","",1977-03-24,"581"
91,3150,344,"positive","",1977-03-25,"581"
92,2900,NA,"negative","",1977-03-26,"581"
93,2750,NA,"negative","",1977-03-27,"581"
94,NA,354,"","",1977-03-28,"581"
95,NA,NA,"","",1977-03-29,"581"
96,NA,NA,"","",1977-03-30,"581"
97,NA,NA,"","",1977-03-31,"581"
98,NA,373,"","",1977-04-01,"581"
