"T","EFD","ref"
10.57413184,0.033741077,"Yang_et_al_2008_EpidInfect"
10.81052189,0.067996215,"Yang_et_al_2008_EpidInfect"
15.30290639,0.373021158,"Yang_et_al_2008_EpidInfect"
16.55096406,1.06293739,"Yang_et_al_2008_EpidInfect"
20.0580655,3.340506817,"Yang_et_al_2008_EpidInfect"
21.84793149,3.58010585,"Yang_et_al_2008_EpidInfect"
25.58830746,6.998562967,"Yang_et_al_2008_EpidInfect"
27.61388198,7.514493008,"Yang_et_al_2008_EpidInfect"
31.6687307,7.232226934,"Yang_et_al_2008_EpidInfect"
33.42559166,7.195214562,"Yang_et_al_2008_EpidInfect"
31.32446579,9.5151239,"Yang_et_al_2008_EpidInfect"
32.5359161,11.20797261,"Yang_et_al_2008_EpidInfect"
18,2.141552511,"Beserra_2009"
22,2.449127907,"Beserra_2009"
26,23.98271799,"Beserra_2009"
28,4.822592324,"Beserra_2009"
32,3.764880952,"Beserra_2009"
34,7.262611276,"Beserra_2009"
18,0.248249523,"Beserra_2009"
22,4.318681319,"Beserra_2009"
26,2.205229403,"Beserra_2009"
28,3.922574627,"Beserra_2009"
32,0.799522673,"Beserra_2009"
34,0.279605263,"Beserra_2009"
18,3.074547861,"Beserra_2009"
22,0.598221504,"Beserra_2009"
26,5.596976017,"Beserra_2009"
28,17.40608229,"Beserra_2009"
32,2.254901961,"Beserra_2009"
34,0.164835165,"Beserra_2009"
